Rank,Release Group,Worldwide,Domestic,%,Foreign,%
125,Between Two Worlds,"$3,650,525",-,-,"$3,650,525",100%
126,Naked Truth,"$3,628,553",-,-,"$3,628,553",100%
127,Disobedient,"$3,601,801",-,-,"$3,601,801",100%
128,Special Delivery,"$3,581,156",-,-,"$3,581,156",100%
129,Official Competition,"$3,534,332","$453,912",12.8%,"$3,080,420",87.2%
130,Belli ciao,"$3,423,873",-,-,"$3,423,873",100%
131,Crimes of the Future,"$3,294,385","$2,452,882",74.5%,"$841,503",25.5%
132,The Way Of The Househusband,"$3,285,070",-,-,"$3,285,070",100%
133,Gangubai Kathiawadi,"$3,271,210","$592,000",18.1%,"$2,679,210",81.9%
134,Etharkkum Thunindhavan,"$3,266,724",-,-,"$3,266,724",100%
135,Ox-Head Village,"$3,250,402",-,-,"$3,250,402",100%
136,Heropanti 2,"$3,235,970",-,-,"$3,235,970",100%
137,The Phantom of the Open,"$3,183,799","$658,891",20.7%,"$2,524,908",79.3%
138,Last Seen Alive,"$3,152,312",-,-,"$3,152,312",100%
139,Jana Gana Mana,"$3,135,150",-,-,"$3,135,150",100%
140,La brigade,"$3,102,030",-,-,"$3,102,030",100%
141,Heart of Oak,"$3,068,589",-,-,"$3,068,589",100%
142,I Want To Know Your Parents,"$3,056,992",-,-,"$3,056,992",100%
143,Le temps des secrets,"$3,047,202",-,-,"$3,047,202",100%
144,The Young Lovers,"$3,036,414",-,-,"$3,036,414",100%
145,The Grandmother,"$3,029,310",-,-,"$3,029,310",100%
146,Studio 666,"$3,018,515","$2,513,963",83.3%,"$504,552",16.7%
147,Extremely Easy Job,"$2,956,808",-,-,"$2,956,808",100%
148,Hot Blooded,"$2,901,023",-,-,"$2,901,023",100%
149,XxxHolic,"$2,882,403",-,-,"$2,882,403",100%
150,Chia Khoa Tram Ty,"$2,851,565",-,-,"$2,851,565",100%
151,Koschey. The Bride Kidnapper,"$2,839,471",-,-,"$2,839,471",100%
152,What to Do with the Dead Kaiju?,"$2,827,966",-,-,"$2,827,966",100%
153,Seventeen Power of Love,"$2,823,989",-,-,"$2,823,989",100%
154,The Glance of Music,"$2,814,612",-,-,"$2,814,612",100%
155,Eingeschlossene Gesellschaft,"$2,773,478",-,-,"$2,773,478",100%
156,Costa!!,"$2,738,958",-,-,"$2,738,958",100%
157,¡Qué Despadre!,"$2,681,505",-,-,"$2,681,505",100%
158,The Wannabes,"$2,627,605",-,-,"$2,627,605",100%
159,Ténor,"$2,623,936",-,-,"$2,623,936",100%
160,Laid-Back Camp Movie,"$2,598,979",-,-,"$2,598,979",100%
161,Vietnamese Horror Story,"$2,569,119",-,-,"$2,569,119",100%
162,Promises,"$2,560,866",-,-,"$2,560,866",100%
163,Cherry Magic! Thirty Years Of Virginity Can Make You A Wizard?!: The Movie,"$2,493,914",-,-,"$2,493,914",100%
164,Corro da te,"$2,479,312",-,-,"$2,479,312",100%
165,Mission «Sky»,"$2,457,275",-,-,"$2,457,275",100%
166,Tonbi,"$2,442,782",-,-,"$2,442,782",100%
167,The Hound of the Baskervilles,"$2,381,508",-,-,"$2,381,508",100%
168,Tri kota i more priklyucheniy,"$2,380,495",-,-,"$2,380,495",100%
169,The Red Herring,"$2,336,496",-,-,"$2,336,496",100%
170,Dreaming of the Meridian Arc,"$2,324,739",-,-,"$2,324,739",100%
171,Ensemble Stars!! Road to Show!!,"$2,287,844",-,-,"$2,287,844",100%
172,Dharmaveer,"$2,285,089",-,-,"$2,285,089",100%
173,Krylya nad Berlinom,"$2,276,024",-,-,"$2,276,024",100%
174,Alcarràs,"$2,272,164",-,-,"$2,272,164",100%
175,Teasing Master Takagi-san: The Movie,"$2,262,412",-,-,"$2,262,412",100%
176,The Young Man 2022 Re-release,"$2,244,212",-,-,"$2,244,212",100%
177,Umma,"$2,232,593","$2,121,025",95%,"$111,568",5%
178,Tajemství staré bambitky 2,"$2,223,380",-,-,"$2,223,380",100%
179,The Beatles: Get Back - The Rooftop Concert,"$2,209,986","$976,712",44.2%,"$1,233,274",55.8%
180,The Pass: Last Days of the Samurai,"$2,180,846",-,-,"$2,180,846",100%
181,The Nan Movie,"$2,167,020",-,-,"$2,167,020",100%
182,Around the World in 80 Days,"$2,164,782",-,-,"$2,164,782",100%
183,Raavan,"$2,158,734",-,-,"$2,158,734",100%
184,Jersey,"$2,156,815",-,-,"$2,156,815",100%
185,Odinnadtsat molchalivykh muzhchin,"$2,126,741",-,-,"$2,126,741",100%
186,The Contractor,"$2,122,288","$1,035,265",48.8%,"$1,087,023",51.2%
187,Moy papa - vozhd,"$2,074,688",-,-,"$2,074,688",100%
188,Irréductible,"$2,055,215",-,-,"$2,055,215",100%
189,Final Cut,"$2,045,734",-,-,"$2,045,734",100%
190,The Beatles: Get Back,"$1,959,336",-,-,"$1,959,336",100%
191,Watcher,"$1,957,479","$1,957,479",100%,-,-
192,Mia and Me,"$1,924,656",-,-,"$1,924,656",100%
193,Jayeshbhai Jordaar,"$1,924,567",-,-,"$1,924,567",100%
194,Mia and Me: The Hero of Centopia,"$1,918,059",-,-,"$1,918,059",100%
195,Wedding High,"$1,908,598",-,-,"$1,908,598",100%
196,Aslan: Hürkus kayip Elmas,"$1,883,289",-,-,"$1,883,289",100%
197,Champagne!,"$1,861,906",-,-,"$1,861,906",100%
198,Love Mocktail 2,"$1,845,639",-,-,"$1,845,639",100%
199,Incredible But True,"$1,835,965",-,-,"$1,835,965",100%
200,Po cem muzi touzí 2,"$1,826,062",-,-,"$1,826,062",100%
