Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
352,Noah,359200044,101200044,258000000,2014.csv,2014,0.28173728174710355,0.7182627182528964
353,The Karate Kid,359126022,176591618,182534404,2010.csv,2010,0.4917260437340294,0.5082739562659706
354,Hotel Transylvania,358375603,148313048,210062555,2012.csv,2012,0.4138480598524448,0.5861519401475552
355,Minority Report,358372926,132072926,226300000,2002.csv,2002,0.3685348875936013,0.6314651124063987
356,Your Name.,357986087,5017246,352968841,2016.csv,2016,0.014015198305737508,0.9859848016942625
357,The Legend of Tarzan,356700357,126643061,230057296,2016.csv,2016,0.3550404660794887,0.6449595339205113
358,American Beauty,356296601,130096601,226200000,1999.csv,1999,0.3651356780695194,0.6348643219304806
359,The Great Gatsby,353641895,144840419,208801476,2013.csv,2013,0.40956804340164504,0.5904319565983549
360,Dumbo,353284621,114766307,238518314,2019.csv,2019,0.32485508900768145,0.6751449109923185
361,"I, Robot",353133898,144801023,208332875,2004.csv,2004,0.4100456620564928,0.5899543379435072
362,Murder on the Orient Express,352789811,102826543,249963268,2017.csv,2017,0.29146687289106543,0.7085331271089346
363,X-Men: First Class,352616690,146408305,206208385,2011.csv,2011,0.41520526155469273,0.5847947384453073
364,The Angry Birds Movie,352333929,107509366,244824563,2016.csv,2016,0.3051348653964007,0.6948651346035993
365,Catch Me If You Can,352114312,164615351,187498961,2002.csv,2002,0.4675054247723961,0.5324945752276039
366,Now You See Me,351723989,117723989,234000000,2013.csv,2013,0.3347056006464205,0.6652943993535795
367,Hannibal,351692268,165092268,186600000,2001.csv,2001,0.46942251229702897,0.5305774877029711
368,Peter Rabbit,351266433,115253424,236013009,2018.csv,2018,0.3281082767165515,0.6718917232834485
369,Titanic 2012 3D Release,350449521,57884114,292565407,2012.csv,2012,0.16517104613191924,0.8348289538680808
370,Dinosaur,349822765,137748063,212074702,2000.csv,2000,0.39376529140406286,0.6062347085959372
371,Mary Poppins Returns,349537494,171958438,177579056,2018.csv,2018,0.4919599211865952,0.5080400788134047
372,The Lorax,348840316,214030500,134809816,2012.csv,2012,0.6135486358176558,0.3864513641823441
373,The Maze Runner,348319861,102427862,245891999,2014.csv,2014,0.2940626517992323,0.7059373482007677
374,The Smurfs 2,347545360,71017784,276527576,2013.csv,2013,0.2043410506185437,0.7956589493814563
375,National Treasure,347512318,173008894,174503424,2004.csv,2004,0.4978496733459675,0.5021503266540325
376,Rush Hour 2,347325802,226164286,121161516,2001.csv,2001,0.6511588966258257,0.3488411033741743
377,Trolls,346864462,153707064,193157398,2016.csv,2016,0.44313292608223437,0.5568670739177656
378,xXx: Return of Xander Cage,346118277,44898413,301219864,2017.csv,2017,0.12971985585147242,0.8702801441485276
379,How the Grinch Stole Christmas,345141403,260044825,85096578,2000.csv,2000,0.7534443064195344,0.24655569358046564
380,Star Trek Beyond,343471816,158848340,184623476,2016.csv,2016,0.462478528369268,0.537521471630732
381,Alvin and the Chipmunks: Chipwrecked,342695435,133110742,209584693,2011.csv,2011,0.3884228630007867,0.6115771369992133
382,Wanted,342463063,134508551,207954512,2008.csv,2008,0.39276805452154706,0.6072319454784529
383,A Quiet Place,340939361,188024361,152915000,2018.csv,2018,0.5514891576276522,0.44851084237234784
384,Enchanted,340487652,127807262,212680390,2007.csv,2007,0.37536533630300345,0.6246346636969966
385,Over the Hedge,339795890,155019340,184776550,2006.csv,2006,0.4562131107589324,0.5437868892410677
386,300: Rise of an Empire,337580051,106580051,231000000,2014.csv,2014,0.31571785916935,0.68428214083065
387,Prince of Persia: The Sands of Time,336365676,90759676,245606000,2009.csv,2009,0.2698244276267951,0.730175572373205
388,The Curious Case of Benjamin Button,335802786,127509326,208293460,2008.csv,2008,0.3797149139793021,0.6202850860206979
389,Journey 2: The Mysterious Island,335260290,103860290,231400000,2012.csv,2012,0.30979001420060814,0.6902099857993919
390,The Great Wall,334933831,45540830,289393001,2016.csv,2016,0.13596963276008986,0.8640303672399101
391,Now You See Me 2,334897606,65075540,269822066,2016.csv,2016,0.19431473630778956,0.8056852636922105
392,Never Say Die,334530869,0,334530869,2017.csv,2017,0.0,1.0
393,Fantastic Four,333535934,154696080,178839854,2005.csv,2005,0.46380633758040596,0.5361936624195941
394,The Good Dinosaur,332207671,123087120,209120551,2015.csv,2015,0.3705125761530052,0.6294874238469947
395,Free Guy,331526598,121626598,209900000,2021.csv,2021,0.36686829573776764,0.6331317042622324
396,22 Jump Street,331333876,191719337,139614539,2014.csv,2014,0.5786288420445123,0.4213711579554878
397,Meet the Parents,330444045,166244045,164200000,2000.csv,2000,0.5030928761327806,0.49690712386721936
398,Black Swan,329398046,106954678,222443368,2010.csv,2010,0.32469736629828094,0.6753026337017191
399,Thor: Love and Thunder,329178181,170003041,159175140,2022.csv,2022,0.5164468692413122,0.4835531307586878
400,The Perfect Storm,328718434,182618434,146100000,2000.csv,2000,0.5555466779815579,0.44445332201844207
401,Crazy Alien,327598891,0,327598891,2019.csv,2019,0.0,1.0
402,John Wick: Chapter 3 - Parabellum,326709727,171015687,155694040,2019.csv,2019,0.5234484096030603,0.47655159039693973
403,The Devil Wears Prada,326705902,124740460,201965442,2006.csv,2006,0.38181269219923675,0.6181873078007633
404,Taken 3,326479141,89256424,237222717,2015.csv,2015,0.27339089329446625,0.7266091067055338
405,A Christmas Carol,325286646,137855863,187430783,2009.csv,2009,0.4237981014443489,0.5762018985556512
406,The SpongeBob Movie: Sponge Out of Water,325186032,162994032,162192000,2015.csv,2015,0.5012331894993571,0.4987668105006429
407,Megamind,321885765,148415853,173469912,2010.csv,2010,0.4610823749848024,0.5389176250151976
408,Green Book,321752656,85080171,236672485,2018.csv,2018,0.26442725308847176,0.7355727469115282
409,Robin Hood,321669741,105269730,216400011,2010.csv,2010,0.327260281532045,0.672739718467955
410,Inglourious Basterds,321455689,120540719,200914970,2009.csv,2009,0.37498393441094147,0.6250160655890585
411,The Conjuring 2,320392818,102470008,217922810,2016.csv,2016,0.31982617038562955,0.6801738296143705
412,Sonic the Hedgehog,319715683,148974665,170741018,2020.csv,2020,0.46595982906475064,0.5340401709352494
