Rank,Release Group,Worldwide,Domestic,%,Foreign,%
173,Ensemble Stars!! Road to Show!!,"$2,287,844",-,-,"$2,287,844",100%
174,Dharmaveer,"$2,285,089",-,-,"$2,285,089",100%
175,Krylya nad Berlinom,"$2,276,024",-,-,"$2,276,024",100%
176,Alcarràs,"$2,272,164",-,-,"$2,272,164",100%
177,Teasing Master Takagi-san: The Movie,"$2,262,412",-,-,"$2,262,412",100%
178,The Young Man 2022 Re-release,"$2,244,212",-,-,"$2,244,212",100%
179,Umma,"$2,232,593","$2,121,025",95%,"$111,568",5%
180,Tajemství staré bambitky 2,"$2,223,380",-,-,"$2,223,380",100%
181,The Beatles: Get Back - The Rooftop Concert,"$2,209,986","$976,712",44.2%,"$1,233,274",55.8%
182,The Pass: Last Days of the Samurai,"$2,180,846",-,-,"$2,180,846",100%
183,The Nan Movie,"$2,167,020",-,-,"$2,167,020",100%
184,Around the World in 80 Days,"$2,164,782",-,-,"$2,164,782",100%
185,Raavan,"$2,158,734",-,-,"$2,158,734",100%
186,Jersey,"$2,156,815",-,-,"$2,156,815",100%
187,Odinnadtsat molchalivykh muzhchin,"$2,126,741",-,-,"$2,126,741",100%
188,The Contractor,"$2,122,288","$1,035,265",48.8%,"$1,087,023",51.2%
189,Incredible But True,"$2,084,861",-,-,"$2,084,861",100%
190,Hurdang,"$2,081,549",-,-,"$2,081,549",100%
191,Moy papa - vozhd,"$2,074,688",-,-,"$2,074,688",100%
192,Final Cut,"$2,045,734",-,-,"$2,045,734",100%
193,La traversée,"$1,981,256",-,-,"$1,981,256",100%
194,The Beatles: Get Back,"$1,959,336",-,-,"$1,959,336",100%
195,Watcher,"$1,957,479","$1,957,479",100%,-,-
196,Champagne!,"$1,938,987",-,-,"$1,938,987",100%
197,Mia and Me,"$1,924,656",-,-,"$1,924,656",100%
198,Jayeshbhai Jordaar,"$1,924,567",-,-,"$1,924,567",100%
199,Mia and Me: The Hero of Centopia,"$1,918,059",-,-,"$1,918,059",100%
200,Wedding High,"$1,908,598",-,-,"$1,908,598",100%
